AverageViewer,Data,year,Viewers,MostWatched,Episode
27.8,Actual,1990,33.5,"""Life on the Fast Lane""",13
24.4,Actual,1991,33.6,"""Bart Gets an F""",22
21.8,Actual,1992,25.5,"""Colonel Homer""",24
22.4,Actual,1993,28.6,"""Lisa's First Word""",22
18.9,Actual,1994,24,"""Treehouse of Horror IV""",22
15.6,Actual,1995,22.2,"""Treehouse of Horror V""",25
15.1,Actual,1996,19.7,"""Treehouse of Horror VI""",25
14.5,Actual,1997,20.9,"""The Springfield Files""",25
16.3,Actual,1998,19.8,"""The Two Mrs. Nahasapeemapetilons""",25
15.9,Estimated,1999,15.5,"""Maximum Homerdrive""",23
15.1,Estimated,2000,18.4,"""The Mansion Family""",22
15.5,Actual,2001,18.6,"""Worst Episode Ever""",21
12.5,Actual,2002,14.9,"""The Parent Rap""",22
14.4,Actual,2003,22.1,"""I'm Spelling as Fast as I Can""",22
11,Actual,2004,16.3,"""I, (Annoyed Grunt)-Bot""",22
10.2,Actual,2005,23.1,"""Homer and Ned's Hail Mary Pass""",21
9.6,Actual,2006,11.6,"""Treehouse of Horror XVI""",22
9.2,Actual,2007,13.9,"""The Wife Aquatic""",22
8.4,Actual,2008,11.7,"""Treehouse of Horror XVIII""",20
7.1,Actual,2009,12.4,"""Treehouse of Horror XIX""",21
7.1,Actual,2010,14.6,"""Once Upon a Time in Springfield""",23
7.1,Actual,2011,12.6,"""Moms I'd Like to Forget""",22
6.2,Actual,2012,11.5,"""The D'oh-cial Network""",22
5.4,Actual,2013,9,"""Homer Goes to Prep School""",22
5,Actual,2014,12,"""Steal This Episode""",22
